Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.negative,Answer.elaboration,Answer.change,Answer.change,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,I think all of the Monty Python moves are perfect for a game night.,There are a few films from around that time that really hold up their comedy regardless of generational gaps.,
Answer.rhetorical,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",How can someone not like the Knights of Nee?,,,,
Answer.negative,Answer.change,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe...did you see the satire of the Beatles called ""The Rutles""?",,,
Answer.negative,Answer.elaboration,Answer.elaboration,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,The really did an awesome job making it... well... extremely nerdy.,,
Answer.negative,Answer.elaboration,Answer.change,Answer.joking_sarcastic,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,I think all of the Monty Python moves are perfect for a game night.,Nobody expects the longevity of Monty Phython....or the Spanish Inquisition...,
Answer.TalkMore,Answer.change,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?",,,
Answer.positive,Answer.elaboration,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Totally, it's easily one of the top ten funniest movies of all time.","When Eric Idle was stabbed in the butt, I loved it!",,,
Answer.TalkMore,Answer.change,Answer.change,Answer.joking_sarcastic,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","What other sketch comedy troupes have successfully made it to the big screen?  Kids in the Hall?  You might think of spin-offs like movies starring former SNL cast members, like John Belushi and Animal House.","The blues brothers was amazing, not so much for the acting but for the number of cars they destroyed",
Answer.negative,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",The quality of the filming has not stood up. It's not HD and it really makes a difference.,,,,
Answer.TalkMore,Answer.change,Answer.change,Answer.continuation,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","What other sketch comedy troupes have successfully made it to the big screen?  Kids in the Hall?  You might think of spin-offs like movies starring former SNL cast members, like John Belushi and Animal House.","When I think of comedy troupes, I think the broken lizard comedy group successfully made it to the big screen with Super Troopers.",
Answer.TalkMore,Answer.change,Answer.elaboration,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","But you have to admit that both of them are better than ""The Meaning of Life"".",,
Answer.negative,Answer.joking_sarcastic,Answer.continuation,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",How has that been? Are you liking the freedom?,,
Answer.positive,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",Monty Python is a comedy classic.,,,,
Answer.positive,Answer.continuation,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Totally, it's easily one of the top ten funniest movies of all time.",What's your favorite scene in the movie?,,,
Answer.positive,Answer.change,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Totally, it's easily one of the top ten funniest movies of all time.",Do you like movies about Knights of Olde that aren't comedies?,,,
Answer.rhetorical,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Wait, are there actually people who don't find it funny?",,,,
Answer.TalkMore,Answer.change,Answer.change,Answer.change,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","What other sketch comedy troupes have successfully made it to the big screen?  Kids in the Hall?  You might think of spin-offs like movies starring former SNL cast members, like John Belushi and Animal House.","I do not know of any other groups that successfully made the switch, Theater troupes on the other hand, I know a lot",
Answer.TalkMore,Answer.change,Answer.joking_sarcastic,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","Of course you would like a movie ridicules history  rather than one that makes fun of religion.   Name one  successful comedy movie based on religion.""",,
Answer.TalkMore,Answer.change,Answer.change,Answer.elaboration,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","What other sketch comedy troupes have successfully made it to the big screen?  Kids in the Hall?  You might think of spin-offs like movies starring former SNL cast members, like John Belushi and Animal House.","Well, Comedy is best suited to the short sketches rather than movies",
Answer.positive,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Totally, it's easily one of the top ten funniest movies of all time.",,,,
Answer.TalkMore,Answer.change,Answer.joking_sarcastic,Answer.joking_sarcastic,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","Of course you would like a movie ridicules history  rather than one that makes fun of religion.   Name one  successful comedy movie based on religion.""",I think we would be locked up if we started building an arc.,
Answer.positive,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","""Holy Grail"" is a classic and it's jokes are still relevant today.",,,,
Answer.TalkMore,Answer.change,Answer.joking_sarcastic,Answer.change,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","Of course you would like a movie ridicules history  rather than one that makes fun of religion.   Name one  successful comedy movie based on religion.""",Can you name a B movie that was actually any good?,
Answer.TalkMore,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Which one is that? They made a bunch of different movies, right? Do you like them all?",,,,
Answer.TalkMore,Answer.continuation,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,The wizard named Tim makes me laugh every time. Without fail.,,,
Answer.TalkMore,Answer.elaboration,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,Why those scenes in particular?,,,
Answer.TalkMore,Answer.change,Answer.change,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"""The Life of Brian"" isn't quite as funny though, don't you think?","What other sketch comedy troupes have successfully made it to the big screen?  Kids in the Hall?  You might think of spin-offs like movies starring former SNL cast members, like John Belushi and Animal House.",,
Answer.positive,Answer.joking_sarcastic,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Totally, it's easily one of the top ten funniest movies of all time.","Funnier than ""Pee Wee's Big Adventure""??",,,
Answer.TalkMore,Answer.joking_sarcastic,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",I agree! My favorite scene is the holy hand granade or the wizard named Tim.,"Oh, yeah. The holy hand grenade is just hilarious. Ugh. So boring...",,,
